;animal name;Cluster KMeans;hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;legs;tail;domestic;catsize
37;hawk;2;0;1;1;0;1;0;1;0;1;1;0;0;2;1;0;0
38;herring;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
39;honeybee;4;1;0;1;0;1;0;0;0;0;1;1;0;6;0;1;0
40;housefly;4;1;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0
41;kiwi;2;0;1;1;0;0;0;1;0;1;1;0;0;2;1;0;0
42;ladybird;4;0;0;1;0;1;0;1;0;0;1;0;0;6;0;0;0
43;lark;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
44;leopard;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
45;lion;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
46;lobster;4;0;0;1;0;0;1;1;0;0;0;0;0;6;0;0;0
47;lynx;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
48;mink;1;1;0;0;1;0;1;1;1;1;1;0;0;4;1;0;1
49;mole;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;0
50;mongoose;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
51;moth;4;1;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0
52;newt;0;0;0;1;0;0;1;1;1;1;1;0;0;4;1;0;0
53;octopus;4;0;0;1;0;0;1;1;0;0;0;0;0;8;0;0;1
54;opossum;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;0
55;oryx;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
56;ostrich;2;0;1;1;0;0;0;0;0;1;1;0;0;2;1;0;1
57;parakeet;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;1;0
58;penguin;2;0;1;1;0;0;1;1;0;1;1;0;0;2;1;0;1
59;pheasant;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
60;pike;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1
61;piranha;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
62;pitviper;3;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0
63;platypus;1;1;0;1;1;0;1;1;0;1;1;0;0;4;1;0;1
64;polecat;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
65;pony;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
66;porpoise;6;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1
67;puma;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
68;pussycat;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;1;1
69;raccoon;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
70;reindeer;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
71;rhea;2;0;1;1;0;0;0;1;0;1;1;0;0;2;1;0;1
72;scorpion;4;0;0;0;0;0;0;1;0;0;1;1;0;8;1;0;0
73;seahorse;3;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0
74;seal;6;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1
75;sealion;6;1;0;0;1;0;1;1;1;1;1;0;1;2;1;0;1
76;seasnake;3;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0
77;seawasp;5;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0
78;skimmer;2;0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0
79;skua;2;0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0
80;slowworm;3;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0
81;slug;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
82;sole;3;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0
83;sparrow;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
84;squirrel;6;1;0;0;1;0;0;0;1;1;1;0;0;2;1;0;0
85;starfish;4;0;0;1;0;0;1;1;0;0;0;0;0;5;0;0;0
86;stingray;3;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1
87;swan;2;0;1;1;0;1;1;0;0;1;1;0;0;2;1;0;1
88;termite;4;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0
89;toad;0;0;0;1;0;0;1;0;1;1;1;0;0;4;0;0;0
90;tortoise;0;0;0;1;0;0;0;0;0;1;1;0;0;4;1;0;1
91;tuatara;0;0;0;1;0;0;0;1;1;1;1;0;0;4;1;0;0
92;tuna;3;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1
93;vampire;6;1;0;0;1;1;0;0;1;1;1;0;0;2;1;0;0
94;vole;1;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;0
95;vulture;2;0;1;1;0;1;0;1;0;1;1;0;0;2;1;0;1
96;wallaby;6;1;0;0;1;0;0;0;1;1;1;0;0;2;1;0;1
97;wasp;4;1;0;1;0;1;0;0;0;0;1;1;0;6;0;0;0
98;wolf;1;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
99;worm;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
100;wren;2;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
